zone;libelle;lieux
MAG_J_5d_V2;ACC ELEC AUTO 2;MAGASIN
MAG_J_5f;TG produits entretien voiture;MAGASIN
MAG_J_5g;Tuy arrosage moto pompe;MAGASIN
MAG_J_6d;Acc arrosage;MAGASIN
MAG_J_6f;TG Tuyau au m;MAGASIN
MAG_J_6g;Pulverisateur - produit anti nuisible;MAGASIN
MAG_J_6g_V;PESON ;MAGASIN
MAG_J_7d;Camping gaz - BBQ - Couteaux;MAGASIN
MAG_J_7d_V;COUTEAU BOUCHERIE;MAGASIN
MAG_J_7f;TG outillage main jardin;MAGASIN
MAG_J_7g;Sabre manche sécateur;MAGASIN
MAG_J_8d;Jouet enfant coupe;MAGASIN
MAG_J_8f;TG barre mine;MAGASIN
MAG_J_8g;Fourche rateau;MAGASIN
MAG_J_9;TG désherbant;MAGASIN
MAG_J_9d;Pelle;MAGASIN
MAG_J_9g;Pot phyto  bidime;MAGASIN
MAG_L_1;caisse a outil ;MAGASIN
MAG_L_10d;grille ventilation;MAGASIN
MAG_L_10g;organiseur;MAGASIN
MAG_L_10TG;TG grille;MAGASIN
MAG_L_11d;Extracteur;MAGASIN
MAG_L_11g;grille ventilation;MAGASIN
MAG_L_12;malle ventilo;MAGASIN
MAG_L_13;etagere;MAGASIN
MAG_L_14;rangement ;MAGASIN
MAG_L_2;liege bac a bec ;MAGASIN
MAG_L_3;Boite lettre;MAGASIN
MAG_L_4d;rangement - boite a clef;MAGASIN
MAG_L_4d_V;BOITE A CLE;MAGASIN
MAG_L_4g;tapis;MAGASIN
MAG_L_5d;signaletique;MAGASIN
MAG_L_5g;sechoir et affichage;MAGASIN
MAG_L_6;treteau;MAGASIN
MAG_L_7;Joint;MAGASIN
MAG_L_8;caisse outil;MAGASIN
MAG_L_9;cantine;MAGASIN
Non_bipe;Non Bipé;ANNEXE
